,ztfname,File Name,Dereddened File Name,Date of spectrum,MJD of spectrum,t0,Phase of spectrum,t0_err,z,z_err,x1,x1_err,MWEBV,MWEBV_err,SN Type,SN Sub Type
92,ZTF20abszyjg,ZTF20abszyjg_20200821_SEDm_0.ascii,ZTF20abszyjg_20200821_SEDm_0_dereddened.csv,20200821,59082.0,59088.90107432,-6.901074319997861,0.13238818,0.04492331,0.0,-1.91419779,0.09370206,0.0247567,0.0,snia-cosmo,norm
93,ZTF20abtctgr,ZTF20abtctgr_20200817_GTC_0.ascii,ZTF20abtctgr_20200817_GTC_0_dereddened.csv,20200817,59078.0,59088.52942853,-10.529428529996949,0.07248684,0.03991305,0.0,-2.51854067,0.07356555,0.10784501,0.0,snia-pec,91bg
94,ZTF20abthxfr,ZTF20abthxfr_20200820_SEDm_0.ascii,ZTF20abthxfr_20200820_SEDm_0_dereddened.csv,20200820,59081.0,59090.16122113,-9.16122113000165,0.07138332,0.04005391,0.0,-1.66316025,0.07991637,0.15928144,0.0,snia-cosmo,norm
95,ZTF20abucjsa,ZTF20abucjsa_20200821_SEDm_0.ascii,ZTF20abucjsa_20200821_SEDm_0_dereddened.csv,20200821,59082.0,59089.44195368,-7.441953679997823,0.09402672,0.044782,0.0,-2.30374428,0.12252028,0.17458244,0.0,snia-cosmo,norm
96,ZTF20abxlham,ZTF20abxlham_20200903_SEDm_0.ascii,ZTF20abxlham_20200903_SEDm_0_dereddened.csv,20200903,59095.0,59100.02304926,-5.0230492600021535,0.24324007,0.05473423,0.0,-1.6623729,0.25089383,0.02941632,0.0,snia-cosmo,norm
97,ZTF20acduffd,ZTF20acduffd_20200924_SEDm_0.ascii,ZTF20acduffd_20200924_SEDm_0_dereddened.csv,20200924,59116.0,59126.20683117,-10.206831169998622,0.22643607,0.01954352,0.0,-3.69897883,0.2495135,0.07182236,0.0,snia-pec,91bg
98,ZTF20acduffd,ZTF20acduffd_20200925_SEDm_0.ascii,ZTF20acduffd_20200925_SEDm_0_dereddened.csv,20200925,59117.0,59126.20683117,-9.206831169998622,0.22643607,0.01954352,0.0,-3.69897883,0.2495135,0.07182236,0.0,snia-pec,91bg
99,ZTF20acduffd,ZTF20acduffd_20200927_SEDm_0.ascii,ZTF20acduffd_20200927_SEDm_0_dereddened.csv,20200927,59119.0,59126.20683117,-7.2068311699986225,0.22643607,0.01954352,0.0,-3.69897883,0.2495135,0.07182236,0.0,snia-pec,91bg
100,ZTF20acojxtb,ZTF20acojxtb_20201105_NTT_0.ascii,ZTF20acojxtb_20201105_NTT_0_dereddened.csv,20201105,59158.0,59163.64323886,-5.643238860000565,0.1348723,0.05588531,0.0,-1.80955939,0.10446581,0.04538086,0.0,snia-cosmo,norm
101,ZTF20acoyyly,ZTF20acoyyly_20201110_SEDm_0.ascii,ZTF20acoyyly_20201110_SEDm_0_dereddened.csv,20201110,59163.0,59168.77519733,-5.775197329996445,0.16426862,0.0475529,0.0,-2.32477057,0.12355191,0.12087611,0.0,snia-cosmo,norm
