filename,ztfname,phase,V_Sil_5972_median,pEW_Sil_5972_median_trap,FWHMA_Sil_5972_median,V_sil_5972_err_final_low,V_sil_5972_err_final_high,pEW_err_trap_low_5972_final,pEW_err_trap_high_5972_final,FWHMA_err_low_5972_final,FWHMA_err_high_5972_final,est_pEW_5972,New_Type
ZTF18achaqmd_20181203_SEDm_0.ascii,ZTF18achaqmd,4.22494804573593,-1.107,9.714,95.628,0.02,0.02,0.767,0.177,3.769,2.24,,normal
ZTF18achyqcq_20181120_SEDm_0.ascii,ZTF18achyqcq,-3.6428875433325900,,,,,,,,,,3.987,99aa-like
ZTF18acmvcme_20190513_SEDm_0.ascii,ZTF18acmvcme,0.938423951214895,,,,,,,,,,3.827,SN Ia
ZTF18acmxmlq_20181126_SEDm_0.ascii,ZTF18acmxmlq,-0.599434961781159,-1.275,14.589,116.938,0.02,0.021,1.26,0.257,4.527,1.772,,normal
ZTF18acmycnd_20181121_SEDm_0.ascii,ZTF18acmycnd,-1.86781903728539,,,,,,,,,,11.595,normal
ZTF18acmyihj_20181012_NTT_0.ascii,ZTF18acmyihj,-2.71653639479315,-1.069,28.755,101.562,0.024,0.022,3.09,2.423,7.484,6.375,,normal
ZTF18acnbgrb_20181116_SEDm_0.ascii,ZTF18acnbgrb,-1.18522013890777,-1.09,10.111,117.325,0.022,0.02,0.818,0.488,4.25,2.735,,normal
ZTF18acpfwmm_20181126_SEDm_0.ascii,ZTF18acpfwmm,-3.86956059814639,,,,,,,,,,6.952,SN Ia
ZTF18acqqyah_20181204_SEDm_0.ascii,ZTF18acqqyah,-2.81791230427809,-0.98,10.55,61.979,0.02,0.02,0.692,0.239,3.743,1.312,,normal
ZTF18acqsfxh_20181201_Keck_0.ascii,ZTF18acqsfxh,-1.5803327463213,,,,,,,,,,7.659,99aa-like
ZTF18acqxcga_20181208_LT_0.ascii,ZTF18acqxcga,-0.471534842256926,-1.026,4.757,61.807,0.064,0.064,0.472,0.605,3.591,4.287,,normal
