Unnamed: 0,Dereddened File Name,ztfname,Phase of spectrum,z,wl_x1_Ti,wl_x2_Ti,integral,SNR
46,ZTF20aazkxcw_20200512_SEDm_1_dereddened.csv,ZTF20aazkxcw,-8.92959633999999,0.03527774,4082.8236598724616,4419.217489950587,308.0435632803479,11.285593295992133
47,ZTF20abavxpk_20200525_SEDm_0_dereddened.csv,ZTF20abavxpk,-5.750543280002603,0.03018042,4114.073412312041,4480.369982221486,317.6697064975108,6.36522635793629
48,ZTF20abazekd_20200523_SEDm_0_dereddened.csv,ZTF20abazekd,-6.49292183000216,0.05443432,4110.204001412173,4455.901771133795,328.223699406159,4.686352498479854
49,ZTF20abeeahl_20200609_SEDm_0_dereddened.csv,ZTF20abeeahl,-7.608573760000581,0.04888182,4088.634691535201,4527.989954247872,411.57177388406575,8.420320636040925
50,ZTF20abeeytg_20200613_SEDm_0_dereddened.csv,ZTF20abeeytg,-7.357674309998401,0.0427352,4157.112328075919,4329.787233088145,144.24412711451288,5.640469708812359
51,ZTF20abfhway_20200619_SEDm_0_dereddened.csv,ZTF20abfhway,-5.926648400003614,0.04693154,4092.7020321984414,4459.167660887019,335.8226686398522,7.292470053514133
52,ZTF20abfsemq_20200622_SEDm_0_dereddened.csv,ZTF20abfsemq,-6.096234040000127,0.04745839,4091.601784815868,4485.142379667625,384.77953367733414,18.61359068659857
53,ZTF20abijfqq_20200625_LT_0_dereddened.csv,ZTF20abijfqq,-19.85977498000284,0.0028543,4206.446922621344,4460.3039524125015,243.78805730817038,8.509922088956666
54,ZTF20ableiem_20200717_SEDm_0_dereddened.csv,ZTF20ableiem,-7.338921750000736,0.01560413,4094.5226635895633,4493.917500797792,371.3636324139736,4.976549588282724
55,ZTF20abmoans_20200722_SEDm_0_dereddened.csv,ZTF20abmoans,-7.56180845000199,0.03108456,4080.7878918322913,4501.974863995823,392.3354418017742,6.759366000945091
56,ZTF20abqbzuv_20200804_SEDm_0_dereddened.csv,ZTF20abqbzuv,-10.2213316999987,0.02657839,4079.7890409730658,4482.205454247841,368.4229922072768,4.971387837118099
57,ZTF20abqmtsh_20200811_SEDm_0_dereddened.csv,ZTF20abqmtsh,-6.572433820001606,0.02495727,4212.467239609901,4318.966331762299,73.97324967344979,7.010648774499176
58,ZTF20abszyjg_20200821_SEDm_0_dereddened.csv,ZTF20abszyjg,-6.901074319997861,0.04492331,4105.731116656874,4470.498687494202,315.39241186320066,7.385753658343374
59,ZTF20abtctgr_20200817_GTC_0_dereddened.csv,ZTF20abtctgr,-10.529428529996949,0.03991305,4080.069867728752,4449.845705210332,366.51430901963715,20.37138607901208
60,ZTF20abthxfr_20200820_SEDm_0_dereddened.csv,ZTF20abthxfr,-9.16122113000165,0.04005391,4072.268184911962,4368.909705723811,289.4678915360579,4.589945743314402
61,ZTF20acduffd_20200924_SEDm_0_dereddened.csv,ZTF20acduffd,-10.206831169998622,0.01954352,3880.595594325865,4433.387893424203,510.33214215100594,6.096689331461805
62,ZTF20acduffd_20200925_SEDm_0_dereddened.csv,ZTF20acduffd,-9.206831169998622,0.01954352,3902.707286289798,4502.486930811496,564.5230328175012,5.94678118701449
63,ZTF20acduffd_20200927_SEDm_0_dereddened.csv,ZTF20acduffd,-7.2068311699986225,0.01954352,3952.458593208648,4510.77881529797,539.4505535059758,6.148525235131241
64,ZTF20acojxtb_20201105_NTT_0_dereddened.csv,ZTF20acojxtb,-5.643238860000565,0.05588531,4082.205129791514,4461.7677540811255,374.98823134296083,5.575569593378939
65,ZTF20acoyyly_20201110_SEDm_0_dereddened.csv,ZTF20acoyyly,-5.775197329996445,0.0475529,4049.970210873854,4550.141657485438,459.5077183759731,7.277336230700071
66,ZTF20acuosvy_20201202_SEDm_0_dereddened.csv,ZTF20acuosvy,-5.615248249996512,0.00790221,3944.295316038071,4509.660007195348,547.8248340231366,14.3904900325603
67,ZTF20acvziuf_20201210_CMO-2.5m_0_dereddened.csv,ZTF20acvziuf,-12.088886899997306,0.01721191,3842.6946311138818,4490.550053900004,647.1404377950635,4.41587396319034
68,ZTF20acvziuf_20201210_SEDm_0_dereddened.csv,ZTF20acvziuf,-12.088886899997306,0.01721191,3832.444036014818,4414.848422755662,547.0779170145414,8.529829552359418
69,ZTF20acynjjo_20201222_SEDm_0_dereddened.csv,ZTF20acynjjo,-11.65692890000355,0.01587344,3888.563523450133,4482.6071574681655,572.899649169086,7.950872213373818
